,Geographic name,Geographic area type abbreviation,"Population, 2021","Population, 2016","Land area in square kilometres, 2021"
0,Communauté maritime des Îles-de-la-Madeleine,TÉ,"12,654","12,475",187.33
1,Grosse-Île,MÉ,464,465,32.28
2,Les Îles-de-la-Madeleine,MÉ,"12,190","12,010",155.06
3,Gatineau,TÉ,"291,041","276,245",341.84
4,Gatineau,V,"291,041","276,245",341.84
5,La Tuque,TÉ,"15,038","15,059","26,031.84"
6,La Tuque,V,"11,129","11,001","24,809.40"
7,La Bostonnais,MÉ,556,635,284.32
8,Lac-Édouard,MÉ,220,191,898.32
9,Communauté de Wemotaci,IRI,"1,142","1,213",31.55
10,Obedjiwan 28,IRI,"1,991","2,019",8.26
11,Laval,TÉ,"438,366","422,993",246.13
12,Laval,V,"438,366","422,993",246.13
13,Longueuil,TÉ,"436,785","415,347",282.39
14,Boucherville,V,"41,743","41,671",71.02
15,Brossard,V,"91,525","85,721",45.19
16,Longueuil 5,V,"254,483","239,897r",115.77
17,Saint-Bruno-de-Montarville 5,V,"26,273","26,197r",42.85
18,Saint-Lambert,V,"22,761","21,861",7.56
19,Lévis,TÉ,"149,683","143,414",448.07
20,Lévis,V,"149,683","143,414",448.07
21,Mirabel,TÉ,"61,108","50,513",484.09
22,Mirabel,V,"61,108","50,513",484.09
23,Montréal,TÉ,"2,004,265","1,942,044",498.29
24,Senneville,VL,951,921,7.45
25,Baie-D'Urfé,V,"3,764","3,823",6.03
26,Beaconsfield,V,"19,277","19,324",11.03
27,Côte-Saint-Luc,V,"34,504","32,448",7.04
28,Dollard-Des Ormeaux,V,"48,403","48,899",14.98
29,Dorval,V,"19,302","18,980",20.91
30,Hampstead,V,"7,037","6,973",1.79
31,Kirkland,V,"19,413","20,151",9.65
32,L'Île-Dorval,V,30,5,0.19
33,Mont-Royal,V,"20,953","20,276",7.55
34,Montréal,V,"1,762,949","1,704,694",364.74
35,Montréal-Est,V,"4,394","3,850",12.15
36,Montréal-Ouest,V,"5,115","5,050",1.37
37,Pointe-Claire,V,"33,488","31,380",18.91
38,Sainte-Anne-de-Bellevue,V,"5,027","4,958",10.46
39,Westmount,V,"19,658","20,312",4.04
40,Québec,TÉ,"588,777","569,717",547.60
41,L'Ancienne-Lorette,V,"16,970","16,543",7.72
42,Québec,V,"549,459","531,902",452.30
43,Saint-Augustin-de-Desmaures,V,"19,907","18,820",85.80
44,Notre-Dame-des-Anges,PE,241,318,0.04
45,Wendake,IRI,"2,200","2,134",1.74
46,Rouyn-Noranda,TÉ,"42,313","42,334","5,963.57"
47,Rouyn-Noranda,V,"42,313","42,334","5,963.57"
48,Shawinigan,TÉ,"49,620","49,349",729.98
49,Shawinigan,V,"49,620","49,349",729.98
50,Sherbrooke,TÉ,"172,950","161,323",353.40
51,Sherbrooke,V,"172,950","161,323",353.40
52,Abitibi,MRC,"24,764","24,639","7,627.63"
53,Amos,V,"12,675","12,823",429.04
54,Saint-Marc-de-Figuery,PE,868,834,80.79
55,Lac-Chicobi,NO,161,136,716.01
56,Lac-Despinassy,NO,21,10,"1,848.65"
57,Barraute,MÉ,"1,986","1,968",493.04
58,Berry,MÉ,535,538,575.07
59,Champneuf,MÉ,94,123,241.32
60,La Corne,MÉ,778,719,308.13
61,La Morandière,MÉ,205,207,407.35
62,La Motte,MÉ,478,453,175.48
63,Preissac,MÉ,914,835,422.13
64,Rochebaucourt,MÉ,146,131,183.63
65,Saint-Dominique-du-Rosaire,MÉ,434,450,479.89
66,Saint-Félix-de-Dalquier,MÉ,"1,026",940,113.15
67,Saint-Mathieu-d'Harricana,MÉ,770,739,105.86
68,Sainte-Gertrude-Manneville,MÉ,793,787,316.46
69,Pikogan,IRI,540,538,1.00
70,Landrienne,CT,897,967,275.93
71,Launay,CT,211,218,257.80
72,Trécesson,CT,"1,232","1,223",196.89
73,Abitibi-Ouest,MRC,"20,526","20,538","3,312.45"
74,Duparquet,V,716,666,121.17
75,La Sarre,V,"7,358","7,282",148.36
76,Macamic,V,"2,744","2,751",202.05
77,Saint-Lambert,PE,191,194,99.81
78,Sainte-Hélène-de-Mancebourg,PE,410,373,68.15
79,Lac-Duparquet,NO,0,0,113.66
80,Rivière-Ojima,NO,60,86,354.47
81,Authier,MÉ,290,268,142.22
82,Authier-Nord,MÉ,288,300,278.05
83,Chazel,MÉ,254,289,133.55
84,Clerval,MÉ,373,371,99.17
85,Dupuy,MÉ,940,931,122.43
86,Gallichan,MÉ,488,468,73.61
87,La Reine,MÉ,307,339,97.63
88,Normétal,MÉ,778,808,55.25
89,Palmarolle,MÉ,"1,386","1,409",117.87
90,Poularies,MÉ,662,682,168.19
