,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
0,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-01,1972,1,1,,-10.6,,-23.3,,-17.0,,35.0,,0.0,,0.0,,0.0,T,0.0,T,15.0,,,,<31,
1,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-02,1972,1,2,,0.6,,-10.6,,-5.0,,23.0,,0.0,,0.0,T,7.9,,6.1,,15.0,,27.0,,71,
2,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-03,1972,1,3,,1.7,,-7.2,,-2.8,,20.8,,0.0,,0.0,,0.0,T,0.0,T,23.0,,25.0,,66,
3,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-04,1972,1,4,,-4.4,,-10.6,,-7.5,,25.5,,0.0,,0.0,,5.1,,3.0,,23.0,,2.0,,45,
4,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-05,1972,1,5,,-10.0,,-23.3,,-16.7,,34.7,,0.0,,0.0,,0.5,,0.8,,25.0,,2.0,,39,
5,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-06,1972,1,6,,-9.4,,-22.2,,-15.8,,33.8,,0.0,,0.0,,0.3,,0.0,T,25.0,,,,<31,
6,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-07,1972,1,7,,0.0,,-12.8,,-6.4,,24.4,,0.0,,0.0,,0.5,,0.5,,25.0,,29.0,,60,
7,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-08,1972,1,8,,-10.6,,-19.4,,-15.0,,33.0,,0.0,,0.0,,0.0,T,0.0,T,25.0,,29.0,,60,
8,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-09,1972,1,9,,3.9,,-14.4,,-5.3,,23.3,,0.0,,0.3,,0.8,,0.8,,25.0,,20.0,,50,
9,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-10,1972,1,10,,4.4,,-1.1,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,25.0,,23.0,,55,
10,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-11,1972,1,11,,5.0,,-2.2,,1.4,,16.6,,0.0,,0.0,,0.0,,0.0,,15.0,,25.0,,61,
11,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-12,1972,1,12,,1.7,,-1.7,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,8.0,,11.0,,39,
12,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-13,1972,1,13,,7.2,,-3.3,,2.0,,16.0,,0.0,,0.5,,1.3,,1.8,,5.0,,27.0,,63,
13,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-14,1972,1,14,,-3.3,,-13.3,,-8.3,,26.3,,0.0,,0.0,,0.0,,0.0,,5.0,,27.0,,51,
14,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-15,1972,1,15,,-8.3,,-17.8,,-13.1,,31.1,,0.0,,0.0,,1.0,,0.5,,3.0,,7.0,,60,
15,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-16,1972,1,16,,-17.2,,-23.3,,-20.3,,38.3,,0.0,,0.0,,0.0,,0.0,,3.0,,25.0,,45,
16,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-17,1972,1,17,,-1.7,,-21.1,,-11.4,,29.4,,0.0,,0.0,,4.3,,2.8,,3.0,,14.0,,50,
17,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-18,1972,1,18,,4.4,,-5.6,,-0.6,,18.6,,0.0,,0.0,,0.0,,0.0,,5.0,,20.0,,47,
18,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-19,1972,1,19,,7.2,,-7.8,,-0.3,,18.3,,0.0,,0.5,,0.0,T,0.5,,5.0,,27.0,,95,
19,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-20,1972,1,20,,-6.1,,-13.3,,-9.7,,27.7,,0.0,,0.0,,3.0,,3.0,,0.0,T,29.0,,47,
20,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-21,1972,1,21,,-11.1,,-19.4,,-15.3,,33.3,,0.0,,0.0,,2.0,,1.5,,5.0,,2.0,,31,
21,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-22,1972,1,22,,2.2,,-19.4,,-8.6,,26.6,,0.0,,4.6,,0.0,T,4.6,,5.0,,16.0,,50,
22,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-23,1972,1,23,,6.1,,-1.7,,2.2,,15.8,,0.0,,1.0,,0.0,T,1.0,,3.0,,27.0,,58,
23,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-24,1972,1,24,,0.6,,-5.6,,-2.5,,20.5,,0.0,,0.0,,0.8,,0.8,,0.0,T,9.0,,53,
24,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-25,1972,1,25,,5.6,,-17.8,,-6.1,,24.1,,0.0,,6.6,,0.8,,7.4,,0.0,T,25.0,,114,
25,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-26,1972,1,26,,-15.0,,-20.6,,-17.8,,35.8,,0.0,,0.0,,0.0,,0.0,,0.0,T,27.0,,72,
26,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-27,1972,1,27,,-7.8,,-18.3,,-13.1,,31.1,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,27.0,,55,
27,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-28,1972,1,28,,-7.8,,-13.9,,-10.9,,28.9,,0.0,,0.0,,4.1,,3.3,,0.0,T,,,<31,
28,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-29,1972,1,29,,-6.1,,-16.1,,-11.1,,29.1,,0.0,,0.0,,0.0,T,0.0,T,5.0,,23.0,,35,
29,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-30,1972,1,30,,-5.0,,-13.9,,-9.5,,27.5,,0.0,,0.0,,0.5,,0.5,,3.0,,25.0,,55,
30,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-01-31,1972,1,31,,-8.3,,-16.7,,-12.5,,30.5,,0.0,,0.0,,0.0,,0.0,,3.0,,25.0,,48,
31,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-02-01,1972,2,1,,-5.6,,-12.2,,-8.9,,26.9,,0.0,,0.0,,0.0,T,0.0,T,3.0,,27.0,,39,
32,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-02-02,1972,2,2,,-11.7,,-17.8,,-14.8,,32.8,,0.0,,0.0,,0.0,,0.0,,3.0,,2.0,,47,
33,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,1972-02-03,1972,2,3,,-0.6,,-15.0,,-7.8,,25.8,,0.0,,0.0,,18.0,,15.7,,0.0,T,5.0,,69,
